type,region,instance,deployment,engine,license,term,purchaseOption,upfront,hourly,daily,adjustedAmortisedHourly,adjustedAmortisedDaily,sku
onDemand,eu-west-1,db.r8g.xlarge,single-az,aurora-postgresql,postgresql,,,,0.790000,18.960000,0.790000,18.960000,27AABSWX4VUCQMXE
onDemand,eu-west-1,db.r7g.2xlarge,single-az,aurora-postgresql,postgresql,,,,1.216000,29.184000,1.216000,29.184000,2NAV8PN544B5S5YJ
savings,eu-west-1,db.r7g.2xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,0.936400,22.473600,0.936400,22.473600,2NAV8PN544B5S5YJ
savings,eu-west-1,db.r7g.2xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,8789.00,0.334400,8.025600,0.668608,16.046590,2NAV8PN544B5S5YJ
savings,eu-west-1,db.r7g.2xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,7777.00,0.000000,0.000000,0.887178,21.292266,2NAV8PN544B5S5YJ
savings,eu-west-1,db.r7g.2xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,3995.00,0.456000,10.944000,0.911738,21.881714,2NAV8PN544B5S5YJ
savings,eu-west-1,db.r7g.2xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,16938.00,0.000000,0.000000,0.644079,15.457906,2NAV8PN544B5S5YJ
onDemand,eu-west-1,db.r6g.12xlarge,single-az,aurora-postgresql,postgresql,,,,8.936000,214.464000,8.936000,214.464000,2S4CHSW9T4KF6G96
onDemand,eu-west-1,db.r7i.8xlarge,single-az,aurora-postgresql,postgresql,,,,5.120000,122.880000,5.120000,122.880000,348JXCWTKW2M2W3X
savings,eu-west-1,db.r7i.8xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,3.430000,82.320000,3.430000,82.320000,348JXCWTKW2M2W3X
savings,eu-west-1,db.r7i.8xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,28260.00,0.000000,0.000000,3.223819,77.371663,348JXCWTKW2M2W3X
