type,region,instance,deployment,engine,license,term,purchaseOption,upfront,hourly,daily,adjustedAmortisedHourly,adjustedAmortisedDaily,sku
onDemand,eu-west-1,db.r5.xlarge,multi-az,oracle,byol,,,,0.886660,21.279840,0.886660,21.279840,2DV3WTJK6MPH2ZFQ
savings,eu-west-1,db.r5.xlarge,multi-az,oracle,byol,1yr,No Upfront,0.00,0.586950,14.086800,0.586950,14.086800,2DV3WTJK6MPH2ZFQ
savings,eu-west-1,db.r5.xlarge,multi-az,oracle,byol,3yr,All Upfront,10062.86,0.000000,0.000000,0.382647,9.183536,2DV3WTJK6MPH2ZFQ
savings,eu-west-1,db.r5.xlarge,multi-az,oracle,byol,1yr,Partial Upfront,2448.42,0.279500,6.708000,0.558809,13.411409,2DV3WTJK6MPH2ZFQ
savings,eu-west-1,db.r5.xlarge,multi-az,oracle,byol,3yr,Partial Upfront,5134.20,0.195392,4.689408,0.390624,9.374966,2DV3WTJK6MPH2ZFQ
savings,eu-west-1,db.r5.xlarge,multi-az,oracle,byol,1yr,All Upfront,4798.80,0.000000,0.000000,0.547433,13.138398,2DV3WTJK6MPH2ZFQ
onDemand,eu-west-1,db.r7i.xlarge.tpc2.mem4x,multi-az,oracle,byol,,,,3.852800,92.467200,3.852800,92.467200,2JGJWPRDWT58YGYZ
onDemand,eu-west-1,db.r5b.large.tpc1.mem2x,multi-az,oracle,byol,,,,1.062960,25.511040,1.062960,25.511040,2SREJ3AECSF3532V
savings,eu-west-1,db.r5b.large.tpc1.mem2x,multi-az,oracle,byol,3yr,All Upfront,13408.26,0.000000,0.000000,0.509859,12.236605,2SREJ3AECSF3532V
savings,eu-west-1,db.r5b.large.tpc1.mem2x,multi-az,oracle,byol,1yr,All Upfront,6332.18,0.000000,0.000000,0.722357,17.336564,2SREJ3AECSF3532V
savings,eu-west-1,db.r5b.large.tpc1.mem2x,multi-az,oracle,byol,3yr,Partial Upfront,6984.06,0.265740,6.377760,0.531314,12.751531,2SREJ3AECSF3532V
savings,eu-west-1,db.r5b.large.tpc1.mem2x,multi-az,oracle,byol,1yr,No Upfront,0.00,0.765314,18.367536,0.765314,18.367536,2SREJ3AECSF3532V
savings,eu-west-1,db.r5b.large.tpc1.mem2x,multi-az,oracle,byol,1yr,Partial Upfront,3259.40,0.372036,8.928864,0.743859,17.852615,2SREJ3AECSF3532V
onDemand,eu-west-1,db.r5b.large,multi-az,oracle,byol,,,,0.531480,12.755520,0.531480,12.755520,34S9X4X5VH34PAWU
savings,eu-west-1,db.r5b.large,multi-az,oracle,byol,3yr,Partial Upfront,2793.28,0.106296,2.551104,0.212512,5.100299,34S9X4X5VH34PAWU
savings,eu-west-1,db.r5b.large,multi-az,oracle,byol,1yr,No Upfront,0.00,0.334798,8.035152,0.334798,8.035152,34S9X4X5VH34PAWU
savings,eu-west-1,db.r5b.large,multi-az,oracle,byol,3yr,All Upfront,5473.90,0.000000,0.000000,0.208149,4.995574,34S9X4X5VH34PAWU
savings,eu-west-1,db.r5b.large,multi-az,oracle,byol,1yr,Partial Upfront,1396.64,0.159444,3.826656,0.318769,7.650448,34S9X4X5VH34PAWU
savings,eu-west-1,db.r5b.large,multi-az,oracle,byol,1yr,All Upfront,2737.38,0.000000,0.000000,0.312272,7.494538,34S9X4X5VH34PAWU
onDemand,eu-west-1,db.r4.4xlarge,multi-az,oracle,byol,,,,3.649152,87.579648,3.649152,87.579648,3A3GS3KFK3BJZ6SU
onDemand,eu-west-1,db.r6i.4xlarge.tpc2.mem3x,multi-az,oracle,byol,,,,10.641640,255.399360,10.641640,255.399360,3D4NYCBU3S45ADG8
savings,eu-west-1,db.r6i.4xlarge.tpc2.mem3x,multi-az,oracle,byol,1yr,All Upfront,63441.34,0.000000,0.000000,7.237205,173.692923,3D4NYCBU3S45ADG8
savings,eu-west-1,db.r6i.4xlarge.tpc2.mem3x,multi-az,oracle,byol,1yr,Partial Upfront,32653.34,3.727584,89.462016,7.452583,178.861989,3D4NYCBU3S45ADG8
savings,eu-west-1,db.r6i.4xlarge.tpc2.mem3x,multi-az,oracle,byol,3yr,All Upfront,134346.62,0.000000,0.000000,5.108625,122.607000,3D4NYCBU3S45ADG8
savings,eu-west-1,db.r6i.4xlarge.tpc2.mem3x,multi-az,oracle,byol,1yr,No Upfront,0.00,7.668190,184.036560,7.668190,184.036560,3D4NYCBU3S45ADG8
savings,eu-west-1,db.r6i.4xlarge.tpc2.mem3x,multi-az,oracle,byol,3yr,Partial Upfront,69972.18,2.662560,63.901440,5.323302,127.759236,3D4NYCBU3S45ADG8
onDemand,eu-west-1,db.r5b.2xlarge.tpc2.mem4x,multi-az,oracle,byol,,,,8.501960,204.047040,8.501960,204.047040,3DS2HEZJHFURGKQS
savings,eu-west-1,db.r5b.2xlarge.tpc2.mem4x,multi-az,oracle,byol,1yr,Partial Upfront,26072.62,2.976288,71.430912,5.950577,142.813855,3DS2HEZJHFURGKQS
savings,eu-west-1,db.r5b.2xlarge.tpc2.mem4x,multi-az,oracle,byol,3yr,All Upfront,107268.66,0.000000,0.000000,4.078966,97.895195,3DS2HEZJHFURGKQS
savings,eu-west-1,db.r5b.2xlarge.tpc2.mem4x,multi-az,oracle,byol,1yr,All Upfront,50654.86,0.000000,0.000000,5.778560,138.685448,3DS2HEZJHFURGKQS
savings,eu-west-1,db.r5b.2xlarge.tpc2.mem4x,multi-az,oracle,byol,3yr,Partial Upfront,55869.04,2.125920,51.022080,4.250380,102.009112,3DS2HEZJHFURGKQS
savings,eu-west-1,db.r5b.2xlarge.tpc2.mem4x,multi-az,oracle,byol,1yr,No Upfront,0.00,6.122684,146.944416,6.122684,146.944416,3DS2HEZJHFURGKQS
onDemand,eu-west-1,db.r5b.4xlarge.tpc2.mem2x,multi-az,oracle,byol,,,,8.501960,204.047040,8.501960,204.047040,3RKRATHBXDMW3XBV
savings,eu-west-1,db.r5b.4xlarge.tpc2.mem2x,multi-az,oracle,byol,1yr,All Upfront,50654.86,0.000000,0.000000,5.778560,138.685448,3RKRATHBXDMW3XBV
savings,eu-west-1,db.r5b.4xlarge.tpc2.mem2x,multi-az,oracle,byol,3yr,All Upfront,107268.66,0.000000,0.000000,4.078966,97.895195,3RKRATHBXDMW3XBV
savings,eu-west-1,db.r5b.4xlarge.tpc2.mem2x,multi-az,oracle,byol,3yr,Partial Upfront,55869.04,2.125920,51.022080,4.250380,102.009112,3RKRATHBXDMW3XBV
savings,eu-west-1,db.r5b.4xlarge.tpc2.mem2x,multi-az,oracle,byol,1yr,Partial Upfront,26072.62,2.976288,71.430912,5.950577,142.813855,3RKRATHBXDMW3XBV
savings,eu-west-1,db.r5b.4xlarge.tpc2.mem2x,multi-az,oracle,byol,1yr,No Upfront,0.00,6.122684,146.944416,6.122684,146.944416,3RKRATHBXDMW3XBV
onDemand,eu-west-1,db.r6id.2xlarge,multi-az,oracle,byol,,,,2.284160,54.819840,2.284160,54.819840,4GQXYJEG98M7X7GV
savings,eu-west-1,db.r6id.2xlarge,multi-az,oracle,byol,1yr,Partial Upfront,7503.50,0.856560,20.557440,1.712538,41.100903,4GQXYJEG98M7X7GV
savings,eu-west-1,db.r6id.2xlarge,multi-az,oracle,byol,1yr,All Upfront,14607.96,0.000000,0.000000,1.666434,39.994415,4GQXYJEG98M7X7GV
savings,eu-west-1,db.r6id.2xlarge,multi-az,oracle,byol,1yr,No Upfront,0.00,1.758700,42.208800,1.758700,42.208800,4GQXYJEG98M7X7GV
savings,eu-west-1,db.r6id.2xlarge,multi-az,oracle,byol,3yr,All Upfront,31821.72,0.000000,0.000000,1.210043,29.041040,4GQXYJEG98M7X7GV
savings,eu-west-1,db.r6id.2xlarge,multi-az,oracle,byol,3yr,Partial Upfront,16510.28,0.628230,15.077520,1.256045,30.145081,4GQXYJEG98M7X7GV
onDemand,eu-west-1,db.r7i.4xlarge.tpc2.mem2x,multi-az,oracle,byol,,,,7.705600,184.934400,7.705600,184.934400,4YN7FT39UVERD9EW
onDemand,eu-west-1,db.r5.2xlarge.tpc2.mem8x,multi-az,oracle,byol,,,,14.200320,340.807680,14.200320,340.807680,5REFG2AZE8GG4Y37
savings,eu-west-1,db.r5.2xlarge.tpc2.mem8x,multi-az,oracle,byol,3yr,All Upfront,161027.26,0.000000,0.000000,6.123175,146.956204,5REFG2AZE8GG4Y37
savings,eu-west-1,db.r5.2xlarge.tpc2.mem8x,multi-az,oracle,byol,1yr,No Upfront,0.00,9.389050,225.337200,9.389050,225.337200,5REFG2AZE8GG4Y37
savings,eu-west-1,db.r5.2xlarge.tpc2.mem8x,multi-az,oracle,byol,1yr,Partial Upfront,39166.12,4.470968,107.303232,8.938926,214.534224,5REFG2AZE8GG4Y37
savings,eu-west-1,db.r5.2xlarge.tpc2.mem8x,multi-az,oracle,byol,1yr,All Upfront,76764.46,0.000000,0.000000,8.757068,210.169637,5REFG2AZE8GG4Y37
savings,eu-west-1,db.r5.2xlarge.tpc2.mem8x,multi-az,oracle,byol,3yr,Partial Upfront,82156.66,3.126186,75.028464,6.250251,150.006023,5REFG2AZE8GG4Y37
onDemand,eu-west-1,db.r6id.large,multi-az,oracle,byol,,,,0.571040,13.704960,0.571040,13.704960,6MUTK3BKW4RCGFH3
savings,eu-west-1,db.r6id.large,multi-az,oracle,byol,1yr,Partial Upfront,1875.66,0.214140,5.139360,0.428110,10.274637,6MUTK3BKW4RCGFH3
savings,eu-west-1,db.r6id.large,multi-az,oracle,byol,3yr,All Upfront,7955.86,0.000000,0.000000,0.302527,7.260653,6MUTK3BKW4RCGFH3
savings,eu-west-1,db.r6id.large,multi-az,oracle,byol,3yr,Partial Upfront,4124.56,0.156950,3.766800,0.313789,7.530943,6MUTK3BKW4RCGFH3
savings,eu-west-1,db.r6id.large,multi-az,oracle,byol,1yr,All Upfront,3654.14,0.000000,0.000000,0.416854,10.004490,6MUTK3BKW4RCGFH3
savings,eu-west-1,db.r6id.large,multi-az,oracle,byol,1yr,No Upfront,0.00,0.439460,10.547040,0.439460,10.547040,6MUTK3BKW4RCGFH3
onDemand,eu-west-1,db.r5b.4xlarge.tpc2.mem3x,multi-az,oracle,byol,,,,12.753800,306.091200,12.753800,306.091200,6Q7P9NA79ZQXKBZK
savings,eu-west-1,db.r5b.4xlarge.tpc2.mem3x,multi-az,oracle,byol,1yr,No Upfront,0.00,9.183940,220.414560,9.183940,220.414560,6Q7P9NA79ZQXKBZK
savings,eu-west-1,db.r5b.4xlarge.tpc2.mem3x,multi-az,oracle,byol,1yr,Partial Upfront,39108.50,4.464432,107.146368,8.925817,214.219606,6Q7P9NA79ZQXKBZK
savings,eu-west-1,db.r5b.4xlarge.tpc2.mem3x,multi-az,oracle,byol,3yr,Partial Upfront,83803.56,3.188880,76.533120,6.375569,153.013668,6Q7P9NA79ZQXKBZK
