type,region,instance,deployment,engine,license,term,purchaseOption,upfront,hourly,daily,adjustedAmortisedHourly,adjustedAmortisedDaily,sku
onDemand,us-east-1,db.t3.large,single-az,aurora-mysql,mysql,,,,0.164000,3.936000,0.164000,3.936000,7DVEM3BG7FMHMRZH
savings,us-east-1,db.t3.large,single-az,aurora-mysql,mysql,3yr,All Upfront,1932.00,0.000000,0.000000,0.073466,1.763176,7DVEM3BG7FMHMRZH
savings,us-east-1,db.t3.large,single-az,aurora-mysql,mysql,3yr,Partial Upfront,1026.00,0.039000,0.936000,0.078014,1.872345,7DVEM3BG7FMHMRZH
savings,us-east-1,db.t3.large,single-az,aurora-mysql,mysql,1yr,Partial Upfront,485.00,0.055400,1.329600,0.110727,2.657458,7DVEM3BG7FMHMRZH
savings,us-east-1,db.t3.large,single-az,aurora-mysql,mysql,1yr,All Upfront,952.00,0.000000,0.000000,0.108601,2.606434,7DVEM3BG7FMHMRZH
savings,us-east-1,db.t3.large,single-az,aurora-mysql,mysql,1yr,No Upfront,0.00,0.132000,3.168000,0.132000,3.168000,7DVEM3BG7FMHMRZH
onDemand,us-east-1,db.t4g.large,single-az,aurora-mysql,mysql,,,,0.146000,3.504000,0.146000,3.504000,92X2RQ7TT8WHYXFC
savings,us-east-1,db.t4g.large,single-az,aurora-mysql,mysql,3yr,Partial Upfront,921.00,0.035000,0.840000,0.070022,1.680520,92X2RQ7TT8WHYXFC
savings,us-east-1,db.t4g.large,single-az,aurora-mysql,mysql,3yr,All Upfront,1650.00,0.000000,0.000000,0.062742,1.505818,92X2RQ7TT8WHYXFC
savings,us-east-1,db.t4g.large,single-az,aurora-mysql,mysql,1yr,No Upfront,0.00,0.113900,2.733600,0.113900,2.733600,92X2RQ7TT8WHYXFC
savings,us-east-1,db.t4g.large,single-az,aurora-mysql,mysql,1yr,Partial Upfront,435.00,0.049600,1.190400,0.099224,2.381365,92X2RQ7TT8WHYXFC
savings,us-east-1,db.t4g.large,single-az,aurora-mysql,mysql,1yr,All Upfront,844.00,0.000000,0.000000,0.096281,2.310746,92X2RQ7TT8WHYXFC
onDemand,us-east-1,db.t2.small,single-az,aurora-mysql,mysql,,,,0.041000,0.984000,0.041000,0.984000,99U8VFN2SG8GBUNC
onDemand,us-east-1,db.t4g.large,single-az,aurora-mysql,mysql,,,,0.190000,4.560000,0.190000,4.560000,9YCS6MR7WAHTZP92
onDemand,us-east-1,db.t3.large,single-az,aurora-mysql,mysql,,,,0.213000,5.112000,0.213000,5.112000,AN47CHC4W9UYA6EX
onDemand,us-east-1,db.t4g.medium,single-az,aurora-mysql,mysql,,,,0.095000,2.280000,0.095000,2.280000,CDZWC7RGVX96KVUD
onDemand,us-east-1,db.t3.medium,single-az,aurora-mysql,mysql,,,,0.082000,1.968000,0.082000,1.968000,CHD6T4SQMJHAWK5Z
savings,us-east-1,db.t3.medium,single-az,aurora-mysql,mysql,3yr,Partial Upfront,513.00,0.019500,0.468000,0.039007,0.936172,CHD6T4SQMJHAWK5Z
savings,us-east-1,db.t3.medium,single-az,aurora-mysql,mysql,3yr,All Upfront,934.00,0.000000,0.000000,0.035516,0.852384,CHD6T4SQMJHAWK5Z
savings,us-east-1,db.t3.medium,single-az,aurora-mysql,mysql,1yr,Partial Upfront,243.00,0.027700,0.664800,0.055421,1.330098,CHD6T4SQMJHAWK5Z
savings,us-east-1,db.t3.medium,single-az,aurora-mysql,mysql,1yr,All Upfront,476.00,0.000000,0.000000,0.054301,1.303217,CHD6T4SQMJHAWK5Z
savings,us-east-1,db.t3.medium,single-az,aurora-mysql,mysql,1yr,No Upfront,0.00,0.064000,1.536000,0.064000,1.536000,CHD6T4SQMJHAWK5Z
onDemand,us-east-1,db.t3.small,single-az,aurora-mysql,mysql,,,,0.041000,0.984000,0.041000,0.984000,FWUA93EGGHBQRBBH
savings,us-east-1,db.t3.small,single-az,aurora-mysql,mysql,1yr,No Upfront,0.00,0.033000,0.792000,0.033000,0.792000,FWUA93EGGHBQRBBH
savings,us-east-1,db.t3.small,single-az,aurora-mysql,mysql,3yr,All Upfront,483.00,0.000000,0.000000,0.018366,0.440794,FWUA93EGGHBQRBBH
savings,us-east-1,db.t3.small,single-az,aurora-mysql,mysql,1yr,Partial Upfront,121.00,0.013800,0.331200,0.027603,0.662480,FWUA93EGGHBQRBBH
savings,us-east-1,db.t3.small,single-az,aurora-mysql,mysql,3yr,Partial Upfront,256.00,0.009800,0.235200,0.019535,0.468830,FWUA93EGGHBQRBBH
savings,us-east-1,db.t3.small,single-az,aurora-mysql,mysql,1yr,All Upfront,238.00,0.000000,0.000000,0.027150,0.651608,FWUA93EGGHBQRBBH
onDemand,us-east-1,db.t3.medium,single-az,aurora-mysql,mysql,,,,0.107000,2.568000,0.107000,2.568000,M6M7AR9MEVQAGMVG
onDemand,us-east-1,db.t4g.medium,single-az,aurora-mysql,mysql,,,,0.073000,1.752000,0.073000,1.752000,VVYXFW97QH2J3EM4
savings,us-east-1,db.t4g.medium,single-az,aurora-mysql,mysql,1yr,All Upfront,422.00,0.000000,0.000000,0.048141,1.155373,VVYXFW97QH2J3EM4
savings,us-east-1,db.t4g.medium,single-az,aurora-mysql,mysql,3yr,Partial Upfront,460.00,0.017500,0.420000,0.034992,0.839804,VVYXFW97QH2J3EM4
savings,us-east-1,db.t4g.medium,single-az,aurora-mysql,mysql,3yr,All Upfront,825.00,0.000000,0.000000,0.031371,0.752909,VVYXFW97QH2J3EM4
savings,us-east-1,db.t4g.medium,single-az,aurora-mysql,mysql,1yr,No Upfront,0.00,0.056900,1.365600,0.056900,1.365600,VVYXFW97QH2J3EM4
savings,us-east-1,db.t4g.medium,single-az,aurora-mysql,mysql,1yr,Partial Upfront,217.00,0.024800,0.595200,0.049555,1.189314,VVYXFW97QH2J3EM4
onDemand,us-east-1,db.t3.small,single-az,aurora-mysql,mysql,,,,0.053000,1.272000,0.053000,1.272000,WVWPHF4MFZBS7YSX
onDemand,us-east-1,db.t2.medium,single-az,aurora-mysql,mysql,,,,0.082000,1.968000,0.082000,1.968000,ZJDDP25XMY5KKNWN
