type,region,instance,deployment,engine,license,term,purchaseOption,upfront,hourly,daily,adjustedAmortisedHourly,adjustedAmortisedDaily,sku
onDemand,us-east-1,db.r8gd.48xlarge,single-az,aurora-postgresql,postgresql,,,,25.758720,618.209280,25.758720,618.209280,27TT636N4ZZSQ5WD
onDemand,us-east-1,db.r4.2xlarge,single-az,aurora-postgresql,postgresql,,,,0.997600,23.942400,0.997600,23.942400,2T29JNAWXVKJ4G6Z
onDemand,us-east-1,db.r4.large,single-az,aurora-postgresql,postgresql,,,,0.249400,5.985600,0.249400,5.985600,2UW5BF6GTAAKC8EW
onDemand,us-east-1,db.r8g.2xlarge,single-az,aurora-postgresql,postgresql,,,,0.949440,22.786560,0.949440,22.786560,33FS3DZDB3QNHC35
savings,us-east-1,db.r8g.2xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,2704.70,0.308740,7.409760,0.617284,14.814825,33FS3DZDB3QNHC35
savings,us-east-1,db.r8g.2xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,0.636400,15.273600,0.636400,15.273600,33FS3DZDB3QNHC35
savings,us-east-1,db.r8g.2xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,5243.42,0.000000,0.000000,0.598154,14.355702,33FS3DZDB3QNHC35
onDemand,us-east-1,db.r5.2xlarge,single-az,aurora-postgresql,postgresql,,,,0.997600,23.942400,0.997600,23.942400,3442YQF2H6TDHK6H
savings,us-east-1,db.r5.2xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,4765.26,0.000000,0.000000,0.543607,13.046571,3442YQF2H6TDHK6H
savings,us-east-1,db.r5.2xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,9140.94,0.000000,0.000000,0.347591,8.342177,3442YQF2H6TDHK6H
savings,us-east-1,db.r5.2xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,4862.44,0.184986,4.439664,0.369884,8.877209,3442YQF2H6TDHK6H
savings,us-east-1,db.r5.2xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,0.653600,15.686400,0.653600,15.686400,3442YQF2H6TDHK6H
savings,us-east-1,db.r5.2xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,2431.22,0.277522,6.660528,0.554869,13.316846,3442YQF2H6TDHK6H
onDemand,us-east-1,db.r7i.xlarge,single-az,aurora-postgresql,postgresql,,,,0.648440,15.562560,0.648440,15.562560,34T75BUTQNCJXZ7X
onDemand,us-east-1,db.r8g.large,single-az,aurora-postgresql,postgresql,,,,0.308740,7.409760,0.308740,7.409760,35G2C4M6MTGRK5SK
onDemand,us-east-1,db.r6i.2xlarge,single-az,aurora-postgresql,postgresql,,,,0.997600,23.942400,0.997600,23.942400,36E53XRJPU8HY6P4
savings,us-east-1,db.r6i.2xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,4764.40,0.000000,0.000000,0.543509,13.044216,36E53XRJPU8HY6P4
savings,us-east-1,db.r6i.2xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,4862.44,0.184986,4.439664,0.369884,8.877209,36E53XRJPU8HY6P4
savings,us-east-1,db.r6i.2xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,9140.08,0.000000,0.000000,0.347558,8.341392,36E53XRJPU8HY6P4
savings,us-east-1,db.r6i.2xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,0.653600,15.686400,0.653600,15.686400,36E53XRJPU8HY6P4
savings,us-east-1,db.r6i.2xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,2432.08,0.277608,6.662592,0.555053,13.321264,36E53XRJPU8HY6P4
onDemand,us-east-1,db.r8gd.4xlarge,single-az,aurora-postgresql,postgresql,,,,2.146560,51.517440,2.146560,51.517440,39R4R9BGH8NADFHT
onDemand,us-east-1,db.r6g.8xlarge,single-az,aurora-postgresql,postgresql,,,,3.571580,85.717920,3.571580,85.717920,3EFRPH2REHCTPEYH
savings,us-east-1,db.r6g.8xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,17056.38,0.000000,0.000000,1.945743,46.697823,3EFRPH2REHCTPEYH
savings,us-east-1,db.r6g.8xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,17406.40,0.662372,15.896928,1.324263,31.782303,3EFRPH2REHCTPEYH
savings,us-east-1,db.r6g.8xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,32721.28,0.000000,0.000000,1.244250,29.861994,3EFRPH2REHCTPEYH
savings,us-east-1,db.r6g.8xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,2.339888,56.157312,2.339888,56.157312,3EFRPH2REHCTPEYH
savings,us-east-1,db.r6g.8xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,8703.20,0.993472,23.843328,1.986308,47.671391,3EFRPH2REHCTPEYH
onDemand,us-east-1,db.r6gd.8xlarge,single-az,aurora-postgresql,postgresql,,,,5.581400,133.953600,5.581400,133.953600,3EU4Y86F3KMXHBQ5
onDemand,us-east-1,db.r7i.24xlarge,single-az,aurora-postgresql,postgresql,,,,11.971200,287.308800,11.971200,287.308800,3R3J3V5ZSS749ER7
savings,us-east-1,db.r7i.24xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,8.020360,192.488640,8.020360,192.488640,3R3J3V5ZSS749ER7
savings,us-east-1,db.r7i.24xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,66069.50,0.000000,0.000000,7.537018,180.888433,3R3J3V5ZSS749ER7
savings,us-east-1,db.r7i.24xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,34081.80,3.890640,93.375360,7.778593,186.686243,3R3J3V5ZSS749ER7
onDemand,us-east-1,db.r7g.16xlarge,single-az,aurora-postgresql,postgresql,,,,7.605840,182.540160,7.605840,182.540160,3W9C56BEKP4RSS69
savings,us-east-1,db.r7g.16xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,48639.02,0.000000,0.000000,5.548599,133.166379,3W9C56BEKP4RSS69
savings,us-east-1,db.r7g.16xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,24985.58,2.852276,68.454624,5.702559,136.861414,3W9C56BEKP4RSS69
savings,us-east-1,db.r7g.16xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,54968.62,2.091606,50.198544,4.181827,100.363837,3W9C56BEKP4RSS69
savings,us-east-1,db.r7g.16xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,105939.10,0.000000,0.000000,4.028409,96.681816,3W9C56BEKP4RSS69
savings,us-east-1,db.r7g.16xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,5.856600,140.558400,5.856600,140.558400,3W9C56BEKP4RSS69
onDemand,us-east-1,db.r8g.xlarge,single-az,aurora-postgresql,postgresql,,,,0.617480,14.819520,0.617480,14.819520,46BMEN3824YDGRQM
onDemand,us-east-1,db.r6i.12xlarge,single-az,aurora-postgresql,postgresql,,,,7.781280,186.750720,7.781280,186.750720,482G32QCM462XSDP
onDemand,us-east-1,db.r7g.xlarge,single-az,aurora-postgresql,postgresql,,,,0.475580,11.413920,0.475580,11.413920,4HKNV3G6JNAG46XR
savings,us-east-1,db.r7g.xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,0.366016,8.784384,0.366016,8.784384,4HKNV3G6JNAG46XR
savings,us-east-1,db.r7g.xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,1561.76,0.178278,4.278672,0.356439,8.554538,4HKNV3G6JNAG46XR
savings,us-east-1,db.r7g.xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,3435.70,0.130720,3.137280,0.261365,6.272758,4HKNV3G6JNAG46XR
