type,region,instance,deployment,engine,license,term,purchaseOption,upfront,hourly,daily,adjustedAmortisedHourly,adjustedAmortisedDaily,sku
onDemand,us-east-1,db.m4.4xlarge,single-az,mysql,mysql,,,,1.204860,28.916640,1.204860,28.916640,22ANV4NNQP3UUCWY
onDemand,us-east-1,db.m6id.24xlarge,single-az,mysql,mysql,,,,9.254460,222.107040,9.254460,222.107040,2DN526Y7NE8R4V45
savings,us-east-1,db.m6id.24xlarge,single-az,mysql,mysql,1yr,Partial Upfront,30401.86,3.470530,83.292720,6.938687,166.528476,2DN526Y7NE8R4V45
savings,us-east-1,db.m6id.24xlarge,single-az,mysql,mysql,3yr,Partial Upfront,66884.78,2.545084,61.082016,5.088425,122.122199,2DN526Y7NE8R4V45
savings,us-east-1,db.m6id.24xlarge,single-az,mysql,mysql,1yr,All Upfront,59182.62,0.000000,0.000000,6.751383,162.033183,2DN526Y7NE8R4V45
savings,us-east-1,db.m6id.24xlarge,single-az,mysql,mysql,3yr,All Upfront,128904.54,0.000000,0.000000,4.901686,117.640465,2DN526Y7NE8R4V45
savings,us-east-1,db.m6id.24xlarge,single-az,mysql,mysql,1yr,No Upfront,0.00,7.126218,171.029232,7.126218,171.029232,2DN526Y7NE8R4V45
onDemand,us-east-1,db.m7i.12xlarge,single-az,mysql,mysql,,,,3.673920,88.174080,3.673920,88.174080,2XWX8U985D64SPRY
savings,us-east-1,db.m7i.12xlarge,single-az,mysql,mysql,1yr,No Upfront,0.00,2.461320,59.071680,2.461320,59.071680,2XWX8U985D64SPRY
savings,us-east-1,db.m7i.12xlarge,single-az,mysql,mysql,1yr,All Upfront,20272.78,0.000000,0.000000,2.312660,55.503847,2XWX8U985D64SPRY
savings,us-east-1,db.m7i.12xlarge,single-az,mysql,mysql,1yr,Partial Upfront,10460.18,1.194110,28.658640,2.387377,57.297052,2XWX8U985D64SPRY
onDemand,us-east-1,db.m6gd.8xlarge,single-az,mysql,mysql,,,,2.568820,61.651680,2.568820,61.651680,3DSFJWDCPC7DV9GU
savings,us-east-1,db.m6gd.8xlarge,single-az,mysql,mysql,1yr,No Upfront,0.00,1.977828,47.467872,1.977828,47.467872,3DSFJWDCPC7DV9GU
savings,us-east-1,db.m6gd.8xlarge,single-az,mysql,mysql,1yr,Partial Upfront,8437.46,0.963200,23.116800,1.925721,46.217307,3DSFJWDCPC7DV9GU
savings,us-east-1,db.m6gd.8xlarge,single-az,mysql,mysql,3yr,Partial Upfront,18563.10,0.706318,16.951632,1.412193,33.892631,3DSFJWDCPC7DV9GU
savings,us-east-1,db.m6gd.8xlarge,single-az,mysql,mysql,1yr,All Upfront,16425.14,0.000000,0.000000,1.873733,44.969582,3DSFJWDCPC7DV9GU
savings,us-east-1,db.m6gd.8xlarge,single-az,mysql,mysql,3yr,All Upfront,35776.00,0.000000,0.000000,1.360408,32.649783,3DSFJWDCPC7DV9GU
onDemand,us-east-1,db.m8gd.xlarge,single-az,mysql,mysql,,,,0.339872,8.156928,0.339872,8.156928,3GGCT769EEQYK6TW
onDemand,us-east-1,db.m7g.8xlarge,single-az,mysql,mysql,,,,2.318560,55.645440,2.318560,55.645440,3H5EU77NQ9K3K5J7
savings,us-east-1,db.m7g.8xlarge,single-az,mysql,mysql,3yr,Partial Upfront,16756.24,0.637604,15.302496,1.274772,30.594524,3H5EU77NQ9K3K5J7
savings,us-east-1,db.m7g.8xlarge,single-az,mysql,mysql,1yr,No Upfront,0.00,1.785274,42.846576,1.785274,42.846576,3H5EU77NQ9K3K5J7
savings,us-east-1,db.m7g.8xlarge,single-az,mysql,mysql,1yr,Partial Upfront,7616.16,0.869460,20.867040,1.738290,41.718950,3H5EU77NQ9K3K5J7
savings,us-east-1,db.m7g.8xlarge,single-az,mysql,mysql,1yr,All Upfront,14826.40,0.000000,0.000000,1.691353,40.592471,3H5EU77NQ9K3K5J7
savings,us-east-1,db.m7g.8xlarge,single-az,mysql,mysql,3yr,All Upfront,32293.86,0.000000,0.000000,1.227997,29.471923,3H5EU77NQ9K3K5J7
onDemand,us-east-1,db.m6in.2xlarge,single-az,mysql,mysql,,,,0.888380,21.321120,0.888380,21.321120,3QD362ASXEF33NBF
savings,us-east-1,db.m6in.2xlarge,single-az,mysql,mysql,1yr,No Upfront,0.00,0.683958,16.414992,0.683958,16.414992,3QD362ASXEF33NBF
savings,us-east-1,db.m6in.2xlarge,single-az,mysql,mysql,3yr,Partial Upfront,6419.04,0.244240,5.861760,0.488329,11.719885,3QD362ASXEF33NBF
savings,us-east-1,db.m6in.2xlarge,single-az,mysql,mysql,3yr,All Upfront,12371.10,0.000000,0.000000,0.470420,11.290075,3QD362ASXEF33NBF
savings,us-east-1,db.m6in.2xlarge,single-az,mysql,mysql,1yr,All Upfront,5680.30,0.000000,0.000000,0.647992,15.551814,3QD362ASXEF33NBF
savings,us-east-1,db.m6in.2xlarge,single-az,mysql,mysql,1yr,Partial Upfront,2917.98,0.333078,7.993872,0.665953,15.982866,3QD362ASXEF33NBF
onDemand,us-east-1,db.m6idn.24xlarge,single-az,mysql,mysql,,,,12.177600,292.262400,12.177600,292.262400,47E5R3Q75PB5CCVW
savings,us-east-1,db.m6idn.24xlarge,single-az,mysql,mysql,1yr,No Upfront,0.00,9.376752,225.042048,9.376752,225.042048,47E5R3Q75PB5CCVW
savings,us-east-1,db.m6idn.24xlarge,single-az,mysql,mysql,1yr,Partial Upfront,40003.76,4.566600,109.598400,9.130114,219.122726,47E5R3Q75PB5CCVW
savings,us-east-1,db.m6idn.24xlarge,single-az,mysql,mysql,3yr,Partial Upfront,88007.24,3.348840,80.372160,6.695377,160.689057,47E5R3Q75PB5CCVW
savings,us-east-1,db.m6idn.24xlarge,single-az,mysql,mysql,3yr,All Upfront,169614.36,0.000000,0.000000,6.449706,154.792936,47E5R3Q75PB5CCVW
savings,us-east-1,db.m6idn.24xlarge,single-az,mysql,mysql,1yr,All Upfront,77873.00,0.000000,0.000000,8.883527,213.204654,47E5R3Q75PB5CCVW
onDemand,us-east-1,db.m6i.2xlarge,single-az,mysql,mysql,,,,0.588240,14.117760,0.588240,14.117760,4GXNCSVCSQC47HTP
savings,us-east-1,db.m6i.2xlarge,single-az,mysql,mysql,3yr,Partial Upfront,3170.82,0.120658,2.895792,0.241231,5.789536,4GXNCSVCSQC47HTP
savings,us-east-1,db.m6i.2xlarge,single-az,mysql,mysql,1yr,All Upfront,3078.80,0.000000,0.000000,0.351221,8.429295,4GXNCSVCSQC47HTP
savings,us-east-1,db.m6i.2xlarge,single-az,mysql,mysql,3yr,All Upfront,6212.64,0.000000,0.000000,0.236240,5.669760,4GXNCSVCSQC47HTP
savings,us-east-1,db.m6i.2xlarge,single-az,mysql,mysql,1yr,No Upfront,0.00,0.376680,9.040320,0.376680,9.040320,4GXNCSVCSQC47HTP
savings,us-east-1,db.m6i.2xlarge,single-az,mysql,mysql,1yr,Partial Upfront,1572.94,0.179482,4.307568,0.358918,8.614043,4GXNCSVCSQC47HTP
onDemand,us-east-1,db.m8g.16xlarge,single-az,mysql,mysql,,,,4.623360,110.960640,4.623360,110.960640,5A4WH8SERMB53EAF
savings,us-east-1,db.m8g.16xlarge,single-az,mysql,mysql,1yr,All Upfront,25516.20,0.000000,0.000000,2.910815,69.859548,5A4WH8SERMB53EAF
savings,us-east-1,db.m8g.16xlarge,single-az,mysql,mysql,1yr,Partial Upfront,13161.44,1.502420,36.058080,3.003839,72.092139,5A4WH8SERMB53EAF
savings,us-east-1,db.m8g.16xlarge,single-az,mysql,mysql,1yr,No Upfront,0.00,3.097720,74.345280,3.097720,74.345280,5A4WH8SERMB53EAF
onDemand,us-east-1,db.m5d.large,single-az,mysql,mysql,,,,0.180600,4.334400,0.180600,4.334400,5BBWNPXZTBC4BQ6E
savings,us-east-1,db.m5d.large,single-az,mysql,mysql,1yr,No Upfront,0.00,0.138718,3.329232,0.138718,3.329232,5BBWNPXZTBC4BQ6E
savings,us-east-1,db.m5d.large,single-az,mysql,mysql,3yr,All Upfront,2509.48,0.000000,0.000000,0.095425,2.290194,5BBWNPXZTBC4BQ6E
savings,us-east-1,db.m5d.large,single-az,mysql,mysql,3yr,Partial Upfront,1302.04,0.049536,1.188864,0.099047,2.377128,5BBWNPXZTBC4BQ6E
savings,us-east-1,db.m5d.large,single-az,mysql,mysql,1yr,All Upfront,1152.40,0.000000,0.000000,0.131462,3.155099,5BBWNPXZTBC4BQ6E
savings,us-east-1,db.m5d.large,single-az,mysql,mysql,1yr,Partial Upfront,591.68,0.067596,1.622304,0.135093,3.242236,5BBWNPXZTBC4BQ6E
onDemand,us-east-1,db.m6in.8xlarge,single-az,mysql,mysql,,,,3.552660,85.263840,3.552660,85.263840,5CNQQRZU3EXRK4BG
savings,us-east-1,db.m6in.8xlarge,single-az,mysql,mysql,1yr,All Upfront,22719.48,0.000000,0.000000,2.591773,62.202546,5CNQQRZU3EXRK4BG
savings,us-east-1,db.m6in.8xlarge,single-az,mysql,mysql,3yr,Partial Upfront,25676.16,0.977046,23.449104,1.953400,46.881602,5CNQQRZU3EXRK4BG
savings,us-east-1,db.m6in.8xlarge,single-az,mysql,mysql,3yr,All Upfront,49485.26,0.000000,0.000000,1.881712,45.161086,5CNQQRZU3EXRK4BG
savings,us-east-1,db.m6in.8xlarge,single-az,mysql,mysql,1yr,No Upfront,0.00,2.735660,65.655840,2.735660,65.655840,5CNQQRZU3EXRK4BG
savings,us-east-1,db.m6in.8xlarge,single-az,mysql,mysql,1yr,Partial Upfront,11671.06,1.332312,31.975488,2.663713,63.929109,5CNQQRZU3EXRK4BG
onDemand,us-east-1,db.m1.xlarge,single-az,mysql,mysql,,,,0.399900,9.597600,0.399900,9.597600,6FKKHYA3FYVR3XVG
onDemand,us-east-1,db.m7g.2xlarge,single-az,mysql,mysql,,,,0.579640,13.911360,0.579640,13.911360,7JJ723PBBKE6KN3J
savings,us-east-1,db.m7g.2xlarge,single-az,mysql,mysql,1yr,All Upfront,3706.60,0.000000,0.000000,0.422838,10.148118,7JJ723PBBKE6KN3J
savings,us-east-1,db.m7g.2xlarge,single-az,mysql,mysql,3yr,Partial Upfront,4189.06,0.159358,3.824592,0.318650,7.647599,7JJ723PBBKE6KN3J
