type,region,instance,deployment,engine,license,term,purchaseOption,upfront,hourly,daily,adjustedAmortisedHourly,adjustedAmortisedDaily,sku
onDemand,us-east-1,db.r8gd.24xlarge,single-az,mysql,mysql,,,,11.269440,270.466560,11.269440,270.466560,22M4GJUVC72RNU9C
onDemand,us-east-1,db.r5d.xlarge,single-az,mysql,mysql,,,,0.491060,11.785440,0.491060,11.785440,2NAMG46GF5DC2QHA
savings,us-east-1,db.r5d.xlarge,single-az,mysql,mysql,3yr,All Upfront,6844.74,0.000000,0.000000,0.260276,6.246626,2NAMG46GF5DC2QHA
savings,us-east-1,db.r5d.xlarge,single-az,mysql,mysql,3yr,Partial Upfront,3551.80,0.135106,3.242544,0.270166,6.483977,2NAMG46GF5DC2QHA
savings,us-east-1,db.r5d.xlarge,single-az,mysql,mysql,1yr,Partial Upfront,1614.22,0.184298,4.423152,0.368444,8.842645,2NAMG46GF5DC2QHA
savings,us-east-1,db.r5d.xlarge,single-az,mysql,mysql,1yr,No Upfront,0.00,0.378400,9.081600,0.378400,9.081600,2NAMG46GF5DC2QHA
savings,us-east-1,db.r5d.xlarge,single-az,mysql,mysql,1yr,All Upfront,3142.44,0.000000,0.000000,0.358480,8.603532,2NAMG46GF5DC2QHA
onDemand,us-east-1,db.r7g.8xlarge,single-az,mysql,mysql,,,,3.289500,78.948000,3.289500,78.948000,32MCE3ZEBDP9ZXMZ
savings,us-east-1,db.r7g.8xlarge,single-az,mysql,mysql,1yr,No Upfront,0.00,2.532958,60.790992,2.532958,60.790992,32MCE3ZEBDP9ZXMZ
savings,us-east-1,db.r7g.8xlarge,single-az,mysql,mysql,3yr,Partial Upfront,23772.98,0.904634,21.711216,1.808618,43.406840,32MCE3ZEBDP9ZXMZ
savings,us-east-1,db.r7g.8xlarge,single-az,mysql,mysql,1yr,All Upfront,21035.60,0.000000,0.000000,2.399681,57.592334,32MCE3ZEBDP9ZXMZ
savings,us-east-1,db.r7g.8xlarge,single-az,mysql,mysql,3yr,All Upfront,45817.36,0.000000,0.000000,1.742237,41.813698,32MCE3ZEBDP9ZXMZ
savings,us-east-1,db.r7g.8xlarge,single-az,mysql,mysql,1yr,Partial Upfront,10805.90,1.233584,29.606016,2.466290,59.190958,32MCE3ZEBDP9ZXMZ
onDemand,us-east-1,db.r6idn.4xlarge,single-az,mysql,mysql,,,,2.666860,64.004640,2.666860,64.004640,34WPKGWZYETJUSKC
savings,us-east-1,db.r6idn.4xlarge,single-az,mysql,mysql,1yr,No Upfront,0.00,2.053680,49.288320,2.053680,49.288320,34WPKGWZYETJUSKC
savings,us-east-1,db.r6idn.4xlarge,single-az,mysql,mysql,3yr,Partial Upfront,19275.18,0.733494,17.603856,1.466446,35.194712,34WPKGWZYETJUSKC
savings,us-east-1,db.r6idn.4xlarge,single-az,mysql,mysql,3yr,All Upfront,37148.56,0.000000,0.000000,1.412600,33.902405,34WPKGWZYETJUSKC
savings,us-east-1,db.r6idn.4xlarge,single-az,mysql,mysql,1yr,All Upfront,17055.52,0.000000,0.000000,1.945645,46.695469,34WPKGWZYETJUSKC
savings,us-east-1,db.r6idn.4xlarge,single-az,mysql,mysql,1yr,Partial Upfront,8761.68,1.000180,24.004320,1.999687,47.992492,34WPKGWZYETJUSKC
onDemand,us-east-1,db.r8gd.xlarge,single-az,mysql,mysql,,,,0.469560,11.269440,0.469560,11.269440,35T2VJ373PNUSBN8
onDemand,us-east-1,db.r6idn.8xlarge,single-az,mysql,mysql,,,,5.334580,128.029920,5.334580,128.029920,3AUETNXKEZUUCPS3
savings,us-east-1,db.r6idn.8xlarge,single-az,mysql,mysql,1yr,All Upfront,34111.04,0.000000,0.000000,3.891289,93.390938,3AUETNXKEZUUCPS3
savings,us-east-1,db.r6idn.8xlarge,single-az,mysql,mysql,3yr,Partial Upfront,38550.36,1.466902,35.205648,2.932807,70.387359,3AUETNXKEZUUCPS3
savings,us-east-1,db.r6idn.8xlarge,single-az,mysql,mysql,3yr,All Upfront,74297.12,0.000000,0.000000,2.825200,67.804809,3AUETNXKEZUUCPS3
savings,us-east-1,db.r6idn.8xlarge,single-az,mysql,mysql,1yr,Partial Upfront,17522.50,2.000360,48.008640,3.999276,95.982630,3AUETNXKEZUUCPS3
savings,us-east-1,db.r6idn.8xlarge,single-az,mysql,mysql,1yr,No Upfront,0.00,4.107360,98.576640,4.107360,98.576640,3AUETNXKEZUUCPS3
onDemand,us-east-1,db.r8g.8xlarge,single-az,mysql,mysql,,,,3.288640,78.927360,3.288640,78.927360,3D994NGJ9MGBR4TZ
savings,us-east-1,db.r8g.8xlarge,single-az,mysql,mysql,1yr,Partial Upfront,9364.54,1.068980,25.655520,2.137260,51.294233,3D994NGJ9MGBR4TZ
savings,us-east-1,db.r8g.8xlarge,single-az,mysql,mysql,1yr,All Upfront,18148.58,0.000000,0.000000,2.070338,49.688104,3D994NGJ9MGBR4TZ
savings,us-east-1,db.r8g.8xlarge,single-az,mysql,mysql,1yr,No Upfront,0.00,2.203320,52.879680,2.203320,52.879680,3D994NGJ9MGBR4TZ
onDemand,us-east-1,db.r8g.16xlarge,single-az,mysql,mysql,,,,6.577280,157.854720,6.577280,157.854720,3JQYV9YWKQH9F5S8
savings,us-east-1,db.r8g.16xlarge,single-az,mysql,mysql,1yr,All Upfront,36297.16,0.000000,0.000000,4.140675,99.376208,3JQYV9YWKQH9F5S8
