type,region,instance,deployment,engine,license,term,purchaseOption,upfront,hourly,daily,adjustedAmortisedHourly,adjustedAmortisedDaily,sku
onDemand,us-east-1,db.t2.medium,single-az,mysql,mysql,,,,0.058480,1.403520,0.058480,1.403520,4CDJJFQHW6NQ7T2B
onDemand,us-east-1,db.t3.large,single-az,mysql,mysql,,,,0.116960,2.807040,0.116960,2.807040,8M69JFENFPCVW9UF
savings,us-east-1,db.t3.large,single-az,mysql,mysql,1yr,No Upfront,0.00,0.082302,1.975248,0.082302,1.975248,8M69JFENFPCVW9UF
savings,us-east-1,db.t3.large,single-az,mysql,mysql,3yr,Partial Upfront,737.88,0.028036,0.672864,0.056094,1.346266,8M69JFENFPCVW9UF
savings,us-east-1,db.t3.large,single-az,mysql,mysql,1yr,All Upfront,672.52,0.000000,0.000000,0.076719,1.841259,8M69JFENFPCVW9UF
savings,us-east-1,db.t3.large,single-az,mysql,mysql,1yr,Partial Upfront,343.14,0.039216,0.941184,0.078360,1.880650,8M69JFENFPCVW9UF
savings,us-east-1,db.t3.large,single-az,mysql,mysql,3yr,All Upfront,1445.66,0.000000,0.000000,0.054972,1.319334,8M69JFENFPCVW9UF
onDemand,us-east-1,db.t3.xlarge,single-az,mysql,mysql,,,,0.233920,5.614080,0.233920,5.614080,8SKGV7SKT8WUDKZ6
savings,us-east-1,db.t3.xlarge,single-az,mysql,mysql,3yr,All Upfront,2891.32,0.000000,0.000000,0.109944,2.638668,8SKGV7SKT8WUDKZ6
savings,us-east-1,db.t3.xlarge,single-az,mysql,mysql,1yr,No Upfront,0.00,0.164604,3.950496,0.164604,3.950496,8SKGV7SKT8WUDKZ6
savings,us-east-1,db.t3.xlarge,single-az,mysql,mysql,1yr,Partial Upfront,686.28,0.078346,1.880304,0.156635,3.759236,8SKGV7SKT8WUDKZ6
savings,us-east-1,db.t3.xlarge,single-az,mysql,mysql,1yr,All Upfront,1345.04,0.000000,0.000000,0.153438,3.682519,8SKGV7SKT8WUDKZ6
savings,us-east-1,db.t3.xlarge,single-az,mysql,mysql,3yr,Partial Upfront,1475.76,0.056158,1.347792,0.112275,2.694596,8SKGV7SKT8WUDKZ6
onDemand,us-east-1,db.t2.small,single-az,mysql,mysql,,,,0.029240,0.701760,0.029240,0.701760,9JMMHY2TVQPWXYB7
onDemand,us-east-1,db.t2.2xlarge,single-az,mysql,mysql,,,,0.467840,11.228160,0.467840,11.228160,ANXVR95CXX62SYKA
onDemand,us-east-1,db.t3.micro,single-az,mysql,mysql,,,,0.014620,0.350880,0.014620,0.350880,AXC2TYPWXFK88MVY
savings,us-east-1,db.t3.micro,single-az,mysql,mysql,1yr,All Upfront,84.28,0.000000,0.000000,0.009614,0.230746,AXC2TYPWXFK88MVY
savings,us-east-1,db.t3.micro,single-az,mysql,mysql,3yr,Partial Upfront,92.02,0.003526,0.084624,0.007025,0.168603,AXC2TYPWXFK88MVY
savings,us-east-1,db.t3.micro,single-az,mysql,mysql,3yr,All Upfront,180.60,0.000000,0.000000,0.006867,0.164819,AXC2TYPWXFK88MVY
savings,us-east-1,db.t3.micro,single-az,mysql,mysql,1yr,No Upfront,0.00,0.010320,0.247680,0.010320,0.247680,AXC2TYPWXFK88MVY
savings,us-east-1,db.t3.micro,single-az,mysql,mysql,1yr,Partial Upfront,43.00,0.004902,0.117648,0.009807,0.235376,AXC2TYPWXFK88MVY
onDemand,us-east-1,db.t3.2xlarge,single-az,mysql,mysql,,,,0.467840,11.228160,0.467840,11.228160,AYQF7J6MD4XN2QD9
savings,us-east-1,db.t3.2xlarge,single-az,mysql,mysql,3yr,All Upfront,5783.50,0.000000,0.000000,0.219922,5.278120,AYQF7J6MD4XN2QD9
savings,us-east-1,db.t3.2xlarge,single-az,mysql,mysql,1yr,All Upfront,2690.94,0.000000,0.000000,0.306975,7.367392,AYQF7J6MD4XN2QD9
savings,us-east-1,db.t3.2xlarge,single-az,mysql,mysql,3yr,Partial Upfront,2950.66,0.112316,2.695584,0.224517,5.388406,AYQF7J6MD4XN2QD9
savings,us-east-1,db.t3.2xlarge,single-az,mysql,mysql,1yr,No Upfront,0.00,0.329122,7.898928,0.329122,7.898928,AYQF7J6MD4XN2QD9
savings,us-east-1,db.t3.2xlarge,single-az,mysql,mysql,1yr,Partial Upfront,1372.56,0.156692,3.760608,0.313270,7.518472,AYQF7J6MD4XN2QD9
onDemand,us-east-1,db.t3.small,single-az,mysql,mysql,,,,0.029240,0.701760,0.029240,0.701760,JS6E2TQ5Z5Y3GBYT
savings,us-east-1,db.t3.small,single-az,mysql,mysql,3yr,Partial Upfront,184.04,0.007052,0.169248,0.014050,0.337206,JS6E2TQ5Z5Y3GBYT
savings,us-east-1,db.t3.small,single-az,mysql,mysql,1yr,All Upfront,168.56,0.000000,0.000000,0.019229,0.461492,JS6E2TQ5Z5Y3GBYT
savings,us-east-1,db.t3.small,single-az,mysql,mysql,3yr,All Upfront,361.20,0.000000,0.000000,0.013735,0.329637,JS6E2TQ5Z5Y3GBYT
savings,us-east-1,db.t3.small,single-az,mysql,mysql,1yr,No Upfront,0.00,0.020554,0.493296,0.020554,0.493296,JS6E2TQ5Z5Y3GBYT
savings,us-east-1,db.t3.small,single-az,mysql,mysql,1yr,Partial Upfront,86.00,0.009804,0.235296,0.019615,0.470751,JS6E2TQ5Z5Y3GBYT
onDemand,us-east-1,db.t2.large,single-az,mysql,mysql,,,,0.116960,2.807040,0.116960,2.807040,KTXQMEUM2K6EFG7M
onDemand,us-east-1,db.t4g.2xlarge,single-az,mysql,mysql,,,,0.444620,10.670880,0.444620,10.670880,M2VVTMZSSSESJK82
savings,us-east-1,db.t4g.2xlarge,single-az,mysql,mysql,1yr,All Upfront,2608.38,0.000000,0.000000,0.297556,7.141355,M2VVTMZSSSESJK82
savings,us-east-1,db.t4g.2xlarge,single-az,mysql,mysql,1yr,Partial Upfront,1343.32,0.153338,3.680112,0.306580,7.357922,M2VVTMZSSSESJK82
savings,us-east-1,db.t4g.2xlarge,single-az,mysql,mysql,3yr,Partial Upfront,2803.60,0.106640,2.559360,0.213249,5.117973,M2VVTMZSSSESJK82
savings,us-east-1,db.t4g.2xlarge,single-az,mysql,mysql,3yr,All Upfront,5489.38,0.000000,0.000000,0.208738,5.009701,M2VVTMZSSSESJK82
savings,us-east-1,db.t4g.2xlarge,single-az,mysql,mysql,1yr,No Upfront,0.00,0.320006,7.680144,0.320006,7.680144,M2VVTMZSSSESJK82
onDemand,us-east-1,db.t4g.xlarge,single-az,mysql,mysql,,,,0.221880,5.325120,0.221880,5.325120,PV89PHSYGXUP9SNR
savings,us-east-1,db.t4g.xlarge,single-az,mysql,mysql,3yr,All Upfront,2745.12,0.000000,0.000000,0.104385,2.505243,PV89PHSYGXUP9SNR
savings,us-east-1,db.t4g.xlarge,single-az,mysql,mysql,3yr,Partial Upfront,1401.80,0.053320,1.279680,0.106624,2.558986,PV89PHSYGXUP9SNR
savings,us-east-1,db.t4g.xlarge,single-az,mysql,mysql,1yr,Partial Upfront,671.66,0.076626,1.839024,0.153247,3.677929,PV89PHSYGXUP9SNR
savings,us-east-1,db.t4g.xlarge,single-az,mysql,mysql,1yr,All Upfront,1304.62,0.000000,0.000000,0.148827,3.571855,PV89PHSYGXUP9SNR
savings,us-east-1,db.t4g.xlarge,single-az,mysql,mysql,1yr,No Upfront,0.00,0.159960,3.839040,0.159960,3.839040,PV89PHSYGXUP9SNR
onDemand,us-east-1,db.t1.micro,single-az,mysql,mysql,,,,0.021500,0.516000,0.021500,0.516000,QFPX5RRCXBZYGD4U
onDemand,us-east-1,db.t4g.large,single-az,mysql,mysql,,,,0.110940,2.662560,0.110940,2.662560,QV8RSZYM6NCGN4CT
savings,us-east-1,db.t4g.large,single-az,mysql,mysql,1yr,Partial Upfront,335.40,0.038356,0.920544,0.076617,1.838819,QV8RSZYM6NCGN4CT
savings,us-east-1,db.t4g.large,single-az,mysql,mysql,1yr,All Upfront,651.88,0.000000,0.000000,0.074365,1.784750,QV8RSZYM6NCGN4CT
savings,us-east-1,db.t4g.large,single-az,mysql,mysql,3yr,All Upfront,1372.56,0.000000,0.000000,0.052193,1.252621,QV8RSZYM6NCGN4CT
savings,us-east-1,db.t4g.large,single-az,mysql,mysql,3yr,Partial Upfront,700.90,0.026660,0.639840,0.053312,1.279493,QV8RSZYM6NCGN4CT
savings,us-east-1,db.t4g.large,single-az,mysql,mysql,1yr,No Upfront,0.00,0.079980,1.919520,0.079980,1.919520,QV8RSZYM6NCGN4CT
onDemand,us-east-1,db.t4g.small,single-az,mysql,mysql,,,,0.027520,0.660480,0.027520,0.660480,T3Q9GS9SNACZAUSP
savings,us-east-1,db.t4g.small,single-az,mysql,mysql,1yr,No Upfront,0.00,0.020038,0.480912,0.020038,0.480912,T3Q9GS9SNACZAUSP
savings,us-east-1,db.t4g.small,single-az,mysql,mysql,1yr,Partial Upfront,84.28,0.009546,0.229104,0.019160,0.459850,T3Q9GS9SNACZAUSP
savings,us-east-1,db.t4g.small,single-az,mysql,mysql,1yr,All Upfront,163.40,0.000000,0.000000,0.018640,0.447365,T3Q9GS9SNACZAUSP
savings,us-east-1,db.t4g.small,single-az,mysql,mysql,3yr,All Upfront,343.14,0.000000,0.000000,0.013048,0.313155,T3Q9GS9SNACZAUSP
savings,us-east-1,db.t4g.small,single-az,mysql,mysql,3yr,Partial Upfront,175.44,0.006708,0.160992,0.013379,0.321102,T3Q9GS9SNACZAUSP
onDemand,us-east-1,db.t2.xlarge,single-az,mysql,mysql,,,,0.233920,5.614080,0.233920,5.614080,T4XXRA5BZSFZ5GWT
onDemand,us-east-1,db.t3.medium,single-az,mysql,mysql,,,,0.058480,1.403520,0.058480,1.403520,TSK7J2Y3CBVXPUQ2
savings,us-east-1,db.t3.medium,single-az,mysql,mysql,1yr,Partial Upfront,172.00,0.019608,0.470592,0.039229,0.941502,TSK7J2Y3CBVXPUQ2
savings,us-east-1,db.t3.medium,single-az,mysql,mysql,1yr,All Upfront,336.26,0.000000,0.000000,0.038360,0.920630,TSK7J2Y3CBVXPUQ2
savings,us-east-1,db.t3.medium,single-az,mysql,mysql,1yr,No Upfront,0.00,0.041108,0.986592,0.041108,0.986592,TSK7J2Y3CBVXPUQ2
savings,us-east-1,db.t3.medium,single-az,mysql,mysql,3yr,All Upfront,723.26,0.000000,0.000000,0.027502,0.660059,TSK7J2Y3CBVXPUQ2
savings,us-east-1,db.t3.medium,single-az,mysql,mysql,3yr,Partial Upfront,368.94,0.014018,0.336432,0.028047,0.673133,TSK7J2Y3CBVXPUQ2
onDemand,us-east-1,db.t4g.micro,single-az,mysql,mysql,,,,0.013760,0.330240,0.013760,0.330240,U4AUM7WC9VCSGAY9
savings,us-east-1,db.t4g.micro,single-az,mysql,mysql,3yr,Partial Upfront,87.72,0.003354,0.080496,0.006690,0.160551,U4AUM7WC9VCSGAY9
savings,us-east-1,db.t4g.micro,single-az,mysql,mysql,3yr,All Upfront,171.14,0.000000,0.000000,0.006508,0.156185,U4AUM7WC9VCSGAY9
savings,us-east-1,db.t4g.micro,single-az,mysql,mysql,1yr,No Upfront,0.00,0.009976,0.239424,0.009976,0.239424,U4AUM7WC9VCSGAY9
savings,us-east-1,db.t4g.micro,single-az,mysql,mysql,1yr,Partial Upfront,42.14,0.004816,0.115584,0.009623,0.230957,U4AUM7WC9VCSGAY9
savings,us-east-1,db.t4g.micro,single-az,mysql,mysql,1yr,All Upfront,81.70,0.000000,0.000000,0.009320,0.223682,U4AUM7WC9VCSGAY9
onDemand,us-east-1,db.t2.micro,single-az,mysql,mysql,,,,0.014620,0.350880,0.014620,0.350880,U8CHYD2W2TU6YXYD
onDemand,us-east-1,db.t4g.medium,single-az,mysql,mysql,,,,0.055900,1.341600,0.055900,1.341600,UQ79SE25SFFPAFCG
savings,us-east-1,db.t4g.medium,single-az,mysql,mysql,1yr,Partial Upfront,167.70,0.019178,0.460272,0.038309,0.919410,UQ79SE25SFFPAFCG
savings,us-east-1,db.t4g.medium,single-az,mysql,mysql,1yr,All Upfront,325.94,0.000000,0.000000,0.037182,0.892375,UQ79SE25SFFPAFCG
savings,us-east-1,db.t4g.medium,single-az,mysql,mysql,3yr,All Upfront,686.28,0.000000,0.000000,0.026096,0.626311,UQ79SE25SFFPAFCG
savings,us-east-1,db.t4g.medium,single-az,mysql,mysql,3yr,Partial Upfront,350.02,0.013330,0.319920,0.026640,0.639354,UQ79SE25SFFPAFCG
savings,us-east-1,db.t4g.medium,single-az,mysql,mysql,1yr,No Upfront,0.00,0.039990,0.959760,0.039990,0.959760,UQ79SE25SFFPAFCG
