type,region,instance,deployment,engine,license,term,purchaseOption,upfront,hourly,daily,adjustedAmortisedHourly,adjustedAmortisedDaily,sku
onDemand,us-east-1,db.r5.12xlarge,multi-az,oracle,byol,,,,9.618240,230.837760,9.618240,230.837760,2798BP27JH22RC49
savings,us-east-1,db.r5.12xlarge,multi-az,oracle,byol,1yr,All Upfront,45486.26,0.000000,0.000000,5.188941,124.534593,2798BP27JH22RC49
savings,us-east-1,db.r5.12xlarge,multi-az,oracle,byol,1yr,No Upfront,0.00,5.563340,133.520160,5.563340,133.520160,2798BP27JH22RC49
savings,us-east-1,db.r5.12xlarge,multi-az,oracle,byol,1yr,Partial Upfront,23207.10,2.649230,63.581520,5.296629,127.119097,2798BP27JH22RC49
savings,us-east-1,db.r5.12xlarge,multi-az,oracle,byol,3yr,All Upfront,91699.22,0.000000,0.000000,3.486928,83.686261,2798BP27JH22RC49
savings,us-east-1,db.r5.12xlarge,multi-az,oracle,byol,3yr,Partial Upfront,46785.72,1.780286,42.726864,3.559346,85.424304,2798BP27JH22RC49
onDemand,us-east-1,db.r5b.xlarge.tpc2.mem2x,multi-az,oracle,byol,,,,1.896300,45.511200,1.896300,45.511200,2AJF8CCJ2XXCYAWV
savings,us-east-1,db.r5b.xlarge.tpc2.mem2x,multi-az,oracle,byol,1yr,All Upfront,11290.94,0.000000,0.000000,1.288038,30.912909,2AJF8CCJ2XXCYAWV
savings,us-east-1,db.r5b.xlarge.tpc2.mem2x,multi-az,oracle,byol,3yr,Partial Upfront,12452.80,0.473860,11.372640,0.947387,22.737276,2AJF8CCJ2XXCYAWV
savings,us-east-1,db.r5b.xlarge.tpc2.mem2x,multi-az,oracle,byol,3yr,All Upfront,23909.72,0.000000,0.000000,0.909184,21.820415,2AJF8CCJ2XXCYAWV
savings,us-east-1,db.r5b.xlarge.tpc2.mem2x,multi-az,oracle,byol,1yr,Partial Upfront,5811.02,0.663404,15.921696,1.326308,31.831402,2AJF8CCJ2XXCYAWV
savings,us-east-1,db.r5b.xlarge.tpc2.mem2x,multi-az,oracle,byol,1yr,No Upfront,0.00,1.364734,32.753616,1.364734,32.753616,2AJF8CCJ2XXCYAWV
onDemand,us-east-1,db.r7i.2xlarge.tpc2.mem8x,multi-az,oracle,byol,,,,13.760000,330.240000,13.760000,330.240000,36JXH7CKQN5MNP5H
