type,region,instance,deployment,engine,license,term,purchaseOption,upfront,hourly,daily,adjustedAmortisedHourly,adjustedAmortisedDaily,sku
onDemand,us-east-1,db.x2idn.32xlarge,multi-az,oracle,byol,,,,44.800000,1075.200000,44.800000,1075.200000,23C9TC5CHQHRYBDV
savings,us-east-1,db.x2idn.32xlarge,multi-az,oracle,byol,1yr,Partial Upfront,137357.00,15.680000,376.320000,31.349290,752.382971,23C9TC5CHQHRYBDV
savings,us-east-1,db.x2idn.32xlarge,multi-az,oracle,byol,1yr,No Upfront,0.00,32.256000,774.144000,32.256000,774.144000,23C9TC5CHQHRYBDV
savings,us-east-1,db.x2idn.32xlarge,multi-az,oracle,byol,3yr,All Upfront,565125.00,0.000000,0.000000,21.489277,515.742642,23C9TC5CHQHRYBDV
savings,us-east-1,db.x2idn.32xlarge,multi-az,oracle,byol,1yr,All Upfront,266865.00,0.000000,0.000000,30.443190,730.636550,23C9TC5CHQHRYBDV
savings,us-east-1,db.x2idn.32xlarge,multi-az,oracle,byol,3yr,Partial Upfront,294336.00,11.200000,268.800000,22.392334,537.416016,23C9TC5CHQHRYBDV
onDemand,us-east-1,db.x1.32xlarge,multi-az,oracle,byol,,,,44.800000,1075.200000,44.800000,1075.200000,59N3GEFYP5AQVGDN
onDemand,us-east-1,db.x1e.32xlarge,multi-az,oracle,byol,,,,89.671700,2152.120800,89.671700,2152.120800,5MDYRWDT8QU9WZ6M
onDemand,us-east-1,db.x2idn.metal,multi-az,oracle,byol,,,,33.600000,806.400000,33.600000,806.400000,6KRP7Z7CP5YH8JRF
onDemand,us-east-1,db.x2iedn.8xlarge,multi-az,oracle,byol,,,,30.432000,730.368000,30.432000,730.368000,7P2JHBNMCSKFEETT
savings,us-east-1,db.x2iedn.8xlarge,multi-az,oracle,byol,1yr,All Upfront,194606.55,0.000000,0.000000,22.200154,532.803696,7P2JHBNMCSKFEETT
savings,us-east-1,db.x2iedn.8xlarge,multi-az,oracle,byol,3yr,Partial Upfront,219932.06,8.368800,200.851200,16.731872,401.564921,7P2JHBNMCSKFEETT
