type,region,instance,deployment,engine,license,term,purchaseOption,upfront,hourly,daily,adjustedAmortisedHourly,adjustedAmortisedDaily,sku
onDemand,us-east-1,db.r6i.16xlarge,single-az,oracle,byol,,,,7.456000,178.944000,7.456000,178.944000,28EM8T4K9KUZ2KK8
savings,us-east-1,db.r6i.16xlarge,single-az,oracle,byol,1yr,All Upfront,44414.00,0.000000,0.000000,5.066621,121.598905,28EM8T4K9KUZ2KK8
savings,us-east-1,db.r6i.16xlarge,single-az,oracle,byol,3yr,Partial Upfront,48986.00,1.864000,44.736000,3.726727,89.441453,28EM8T4K9KUZ2KK8
savings,us-east-1,db.r6i.16xlarge,single-az,oracle,byol,3yr,All Upfront,94053.00,0.000000,0.000000,3.576432,85.834360,28EM8T4K9KUZ2KK8
savings,us-east-1,db.r6i.16xlarge,single-az,oracle,byol,1yr,Partial Upfront,22860.00,2.609600,62.630400,5.217403,125.217669,28EM8T4K9KUZ2KK8
savings,us-east-1,db.r6i.16xlarge,single-az,oracle,byol,1yr,No Upfront,0.00,5.368300,128.839200,5.368300,128.839200,28EM8T4K9KUZ2KK8
onDemand,us-east-1,db.r5b.2xlarge,single-az,oracle,byol,,,,1.104000,26.496000,1.104000,26.496000,2BE3R84EYYF2EGWE
savings,us-east-1,db.r5b.2xlarge,single-az,oracle,byol,3yr,Partial Upfront,7253.00,0.276000,6.624000,0.551800,13.243211,2BE3R84EYYF2EGWE
savings,us-east-1,db.r5b.2xlarge,single-az,oracle,byol,1yr,All Upfront,6576.00,0.000000,0.000000,0.750171,18.004107,2BE3R84EYYF2EGWE
savings,us-east-1,db.r5b.2xlarge,single-az,oracle,byol,3yr,All Upfront,13926.00,0.000000,0.000000,0.529546,12.709103,2BE3R84EYYF2EGWE
savings,us-east-1,db.r5b.2xlarge,single-az,oracle,byol,1yr,No Upfront,0.00,0.794900,19.077600,0.794900,19.077600,2BE3R84EYYF2EGWE
